Datetime,CMSA-GAWW-22 Kloveniersburgwal
2021-04-10 00:00:00,57
2021-04-10 00:15:00,57
2021-04-10 00:30:00,43
2021-04-10 00:45:00,33
2021-04-10 01:00:00,38
2021-04-10 01:15:00,27
2021-04-10 01:30:00,27
2021-04-10 01:45:00,20
2021-04-10 02:00:00,17
2021-04-10 02:15:00,16
2021-04-10 02:30:00,23
2021-04-10 02:45:00,14
2021-04-10 03:00:00,22
2021-04-10 03:15:00,17
2021-04-10 03:30:00,23
2021-04-10 03:45:00,21
2021-04-10 04:00:00,11
2021-04-10 04:15:00,19
2021-04-10 04:30:00,18
2021-04-10 04:45:00,25
2021-04-10 05:00:00,15
2021-04-10 05:15:00,16
2021-04-10 05:30:00,17
2021-04-10 05:45:00,16
2021-04-10 06:00:00,15
2021-04-10 06:15:00,18
2021-04-10 06:30:00,17
2021-04-10 06:45:00,24
2021-04-10 07:00:00,28
2021-04-10 07:15:00,29
2021-04-10 07:30:00,33
2021-04-10 07:45:00,47
2021-04-10 08:00:00,58
2021-04-10 08:15:00,73
2021-04-10 08:30:00,106
2021-04-10 08:45:00,150
2021-04-10 09:00:00,103
2021-04-10 09:15:00,110
2021-04-10 09:30:00,123
2021-04-10 09:45:00,102
2021-04-10 10:00:00,112
2021-04-10 10:15:00,131
2021-04-10 10:30:00,118
2021-04-10 10:45:00,131
2021-04-10 11:00:00,198
2021-04-10 11:15:00,120
2021-04-10 11:30:00,181
2021-04-10 11:45:00,208
2021-04-10 12:00:00,173
2021-04-10 12:15:00,189
2021-04-10 12:30:00,194
2021-04-10 12:45:00,267
2021-04-10 13:00:00,229
2021-04-10 13:15:00,222
2021-04-10 13:30:00,268
2021-04-10 13:45:00,217
2021-04-10 14:00:00,260
2021-04-10 14:15:00,244
2021-04-10 14:30:00,283
2021-04-10 14:45:00,349
2021-04-10 15:00:00,272
2021-04-10 15:15:00,224
2021-04-10 15:30:00,233
2021-04-10 15:45:00,209
2021-04-10 16:00:00,257
2021-04-10 16:15:00,253
2021-04-10 16:30:00,226
2021-04-10 16:45:00,287
2021-04-10 17:00:00,231
2021-04-10 17:15:00,220
2021-04-10 17:30:00,277
2021-04-10 17:45:00,305
2021-04-10 18:00:00,285
2021-04-10 18:15:00,212
2021-04-10 18:30:00,185
2021-04-10 18:45:00,205
2021-04-10 19:00:00,172
2021-04-10 19:15:00,165
2021-04-10 19:30:00,150
2021-04-10 19:45:00,191
2021-04-10 20:00:00,183
2021-04-10 20:15:00,186
2021-04-10 20:30:00,159
2021-04-10 20:45:00,138
2021-04-10 21:00:00,155
2021-04-10 21:15:00,182
2021-04-10 21:30:00,151
2021-04-10 21:45:00,163
2021-04-10 22:00:00,141
2021-04-10 22:15:00,92
2021-04-10 22:30:00,104
2021-04-10 22:45:00,68
2021-04-10 23:00:00,107
2021-04-10 23:15:00,66
2021-04-10 23:30:00,86
2021-04-10 23:45:00,44
2021-05-10 00:00:00,85
2021-05-10 00:15:00,69
2021-05-10 00:30:00,35
2021-05-10 00:45:00,31
2021-05-10 01:00:00,30
2021-05-10 01:15:00,20
2021-05-10 01:30:00,22
2021-05-10 01:45:00,26
2021-05-10 02:00:00,20
2021-05-10 02:15:00,23
2021-05-10 02:30:00,15
2021-05-10 02:45:00,22
2021-05-10 03:00:00,12
2021-05-10 03:15:00,24
2021-05-10 03:30:00,13
2021-05-10 03:45:00,13
2021-05-10 04:00:00,15
2021-05-10 04:15:00,14
2021-05-10 04:30:00,16
2021-05-10 04:45:00,14
2021-05-10 05:00:00,19
2021-05-10 05:15:00,18
2021-05-10 05:30:00,16
2021-05-10 05:45:00,15
2021-05-10 06:00:00,24
2021-05-10 06:15:00,18
2021-05-10 06:30:00,28
2021-05-10 06:45:00,24
2021-05-10 07:00:00,27
2021-05-10 07:15:00,24
2021-05-10 07:30:00,42
2021-05-10 07:45:00,64
2021-05-10 08:00:00,82
2021-05-10 08:15:00,87
2021-05-10 08:30:00,168
2021-05-10 08:45:00,173
2021-05-10 09:00:00,117
2021-05-10 09:15:00,107
2021-05-10 09:30:00,146
2021-05-10 09:45:00,124
2021-05-10 10:00:00,80
2021-05-10 10:15:00,106
2021-05-10 10:30:00,150
2021-05-10 10:45:00,210
2021-05-10 11:00:00,157
2021-05-10 11:15:00,279
2021-05-10 11:30:00,195
2021-05-10 11:45:00,239
2021-05-10 12:00:00,197
2021-05-10 12:15:00,226
2021-05-10 12:30:00,338
2021-05-10 12:45:00,247
2021-05-10 13:00:00,255
2021-05-10 13:15:00,236
2021-05-10 13:30:00,259
2021-05-10 13:45:00,161
2021-05-10 14:00:00,144
2021-05-10 14:15:00,157
2021-05-10 14:30:00,99
2021-05-10 14:45:00,107
2021-05-10 15:00:00,101
2021-05-10 15:15:00,119
2021-05-10 15:30:00,135
2021-05-10 15:45:00,135
2021-05-10 16:00:00,117
2021-05-10 16:15:00,143
2021-05-10 16:30:00,172
2021-05-10 16:45:00,231
2021-05-10 17:00:00,221
2021-05-10 17:15:00,242
2021-05-10 17:30:00,267
2021-05-10 17:45:00,270
2021-05-10 18:00:00,319
2021-05-10 18:15:00,240
2021-05-10 18:30:00,241
2021-05-10 18:45:00,254
2021-05-10 19:00:00,219
2021-05-10 19:15:00,199
2021-05-10 19:30:00,167
2021-05-10 19:45:00,207
2021-05-10 20:00:00,175
2021-05-10 20:15:00,182
2021-05-10 20:30:00,159
2021-05-10 20:45:00,130
2021-05-10 21:00:00,96
2021-05-10 21:15:00,72
2021-05-10 21:30:00,109
2021-05-10 21:45:00,116
2021-05-10 22:00:00,83
2021-05-10 22:15:00,99
2021-05-10 22:30:00,109
2021-05-10 22:45:00,73
2021-05-10 23:00:00,69
2021-05-10 23:15:00,69
2021-05-10 23:30:00,63
2021-05-10 23:45:00,54
2021-06-10 00:00:00,75
2021-06-10 00:15:00,47
2021-06-10 00:30:00,29
2021-06-10 00:45:00,51
2021-06-10 01:00:00,20
2021-06-10 01:15:00,27
2021-06-10 01:30:00,17
2021-06-10 01:45:00,15
2021-06-10 02:00:00,16
2021-06-10 02:15:00,22
2021-06-10 02:30:00,16
2021-06-10 02:45:00,19
2021-06-10 03:00:00,17
2021-06-10 03:15:00,18
2021-06-10 03:30:00,15
2021-06-10 03:45:00,12
2021-06-10 04:00:00,15
2021-06-10 04:15:00,17
2021-06-10 04:30:00,10
2021-06-10 04:45:00,12
2021-06-10 05:00:00,17
2021-06-10 05:15:00,16
2021-06-10 05:30:00,15
2021-06-10 05:45:00,15
2021-06-10 06:00:00,16
2021-06-10 06:15:00,18
2021-06-10 06:30:00,22
2021-06-10 06:45:00,15
2021-06-10 07:00:00,16
2021-06-10 07:15:00,17
2021-06-10 07:30:00,18
2021-06-10 07:45:00,43
2021-06-10 08:00:00,44
2021-06-10 08:15:00,75
2021-06-10 08:30:00,94
2021-06-10 08:45:00,97
2021-06-10 09:00:00,66
2021-06-10 09:15:00,85
2021-06-10 09:30:00,109
2021-06-10 09:45:00,114
2021-06-10 10:00:00,98
2021-06-10 10:15:00,163
2021-06-10 10:30:00,99
2021-06-10 10:45:00,134
2021-06-10 11:00:00,118
2021-06-10 11:15:00,93
2021-06-10 11:30:00,120
2021-06-10 11:45:00,120
2021-06-10 12:00:00,118
2021-06-10 12:15:00,107
2021-06-10 12:30:00,150
2021-06-10 12:45:00,221
2021-06-10 13:00:00,169
2021-06-10 13:15:00,169
2021-06-10 13:30:00,167
2021-06-10 13:45:00,167
2021-06-10 14:00:00,196
2021-06-10 14:15:00,176
2021-06-10 14:30:00,182
2021-06-10 14:45:00,271
2021-06-10 15:00:00,210
2021-06-10 15:15:00,227
2021-06-10 15:30:00,184
2021-06-10 15:45:00,220
2021-06-10 16:00:00,259
2021-06-10 16:15:00,245
2021-06-10 16:30:00,175
2021-06-10 16:45:00,219
2021-06-10 17:00:00,291
2021-06-10 17:15:00,255
2021-06-10 17:30:00,303
2021-06-10 17:45:00,276
2021-06-10 18:00:00,303
2021-06-10 18:15:00,267
2021-06-10 18:30:00,260
2021-06-10 18:45:00,253
2021-06-10 19:00:00,287
2021-06-10 19:15:00,189
2021-06-10 19:30:00,200
2021-06-10 19:45:00,224
2021-06-10 20:00:00,203
2021-06-10 20:15:00,188
2021-06-10 20:30:00,179
2021-06-10 20:45:00,211
2021-06-10 21:00:00,147
2021-06-10 21:15:00,165
2021-06-10 21:30:00,152
2021-06-10 21:45:00,148
2021-06-10 22:00:00,162
2021-06-10 22:15:00,149
2021-06-10 22:30:00,125
2021-06-10 22:45:00,88
2021-06-10 23:00:00,151
2021-06-10 23:15:00,100
2021-06-10 23:30:00,90
2021-06-10 23:45:00,77
2021-07-10 00:00:00,90
2021-07-10 00:15:00,70
2021-07-10 00:30:00,58
2021-07-10 00:45:00,40
2021-07-10 01:00:00,38
2021-07-10 01:15:00,27
2021-07-10 01:30:00,18
2021-07-10 01:45:00,30
2021-07-10 02:00:00,22
2021-07-10 02:15:00,19
2021-07-10 02:30:00,23
2021-07-10 02:45:00,23
2021-07-10 03:00:00,19
2021-07-10 03:15:00,17
2021-07-10 03:30:00,18
2021-07-10 03:45:00,17
2021-07-10 04:00:00,21
2021-07-10 04:15:00,12
2021-07-10 04:30:00,16
2021-07-10 04:45:00,17
2021-07-10 05:00:00,15
2021-07-10 05:15:00,20
2021-07-10 05:30:00,12
2021-07-10 05:45:00,17
2021-07-10 06:00:00,21
2021-07-10 06:15:00,19
2021-07-10 06:30:00,29
2021-07-10 06:45:00,28
2021-07-10 07:00:00,22
2021-07-10 07:15:00,19
2021-07-10 07:30:00,35
2021-07-10 07:45:00,57
2021-07-10 08:00:00,79
2021-07-10 08:15:00,78
2021-07-10 08:30:00,163
2021-07-10 08:45:00,182
2021-07-10 09:00:00,146
2021-07-10 09:15:00,42
2021-07-10 09:30:00,47
2021-07-10 09:45:00,118
2021-07-10 10:00:00,94
2021-07-10 10:15:00,105
2021-07-10 10:30:00,130
2021-07-10 10:45:00,226
2021-07-10 11:00:00,182
2021-07-10 11:15:00,191
2021-07-10 11:30:00,151
2021-07-10 11:45:00,242
2021-07-10 12:00:00,189
2021-07-10 12:15:00,218
2021-07-10 12:30:00,223
2021-07-10 12:45:00,274
2021-07-10 13:00:00,245
2021-07-10 13:15:00,213
2021-07-10 13:30:00,231
2021-07-10 13:45:00,191
2021-07-10 14:00:00,222
2021-07-10 14:15:00,244
2021-07-10 14:30:00,242
2021-07-10 14:45:00,340
2021-07-10 15:00:00,303
2021-07-10 15:15:00,252
2021-07-10 15:30:00,227
2021-07-10 15:45:00,241
2021-07-10 16:00:00,307
2021-07-10 16:15:00,262
2021-07-10 16:30:00,274
2021-07-10 16:45:00,326
2021-07-10 17:00:00,364
2021-07-10 17:15:00,308
2021-07-10 17:30:00,271
2021-07-10 17:45:00,361
2021-07-10 18:00:00,359
2021-07-10 18:15:00,441
2021-07-10 18:30:00,373
2021-07-10 18:45:00,399
2021-07-10 19:00:00,314
2021-07-10 19:15:00,381
2021-07-10 19:30:00,366
2021-07-10 19:45:00,244
2021-07-10 20:00:00,275
2021-07-10 20:15:00,216
2021-07-10 20:30:00,247
2021-07-10 20:45:00,341
2021-07-10 21:00:00,264
2021-07-10 21:15:00,312
2021-07-10 21:30:00,270
2021-07-10 21:45:00,210
2021-07-10 22:00:00,174
2021-07-10 22:15:00,248
2021-07-10 22:30:00,148
2021-07-10 22:45:00,171
2021-07-10 23:00:00,171
2021-07-10 23:15:00,135
2021-07-10 23:30:00,138
2021-07-10 23:45:00,100
2021-08-10 00:00:00,157
2021-08-10 00:15:00,131
2021-08-10 00:30:00,81
2021-08-10 00:45:00,50
2021-08-10 01:00:00,41
2021-08-10 01:15:00,43
2021-08-10 01:30:00,29
2021-08-10 01:45:00,26
2021-08-10 02:00:00,29
2021-08-10 02:15:00,33
2021-08-10 02:30:00,24
2021-08-10 02:45:00,23
2021-08-10 03:00:00,22
2021-08-10 03:15:00,17
2021-08-10 03:30:00,16
2021-08-10 03:45:00,16
2021-08-10 04:00:00,19
2021-08-10 04:15:00,9
2021-08-10 04:30:00,23
2021-08-10 04:45:00,10
2021-08-10 05:00:00,13
2021-08-10 05:15:00,19
2021-08-10 05:30:00,18
2021-08-10 05:45:00,13
2021-08-10 06:00:00,25
2021-08-10 06:15:00,18
2021-08-10 06:30:00,22
2021-08-10 06:45:00,28
2021-08-10 07:00:00,24
2021-08-10 07:15:00,34
2021-08-10 07:30:00,33
2021-08-10 07:45:00,36
2021-08-10 08:00:00,72
2021-08-10 08:15:00,68
2021-08-10 08:30:00,157
2021-08-10 08:45:00,134
2021-08-10 09:00:00,132
2021-08-10 09:15:00,66
2021-08-10 09:30:00,110
2021-08-10 09:45:00,120
2021-08-10 10:00:00,115
2021-08-10 10:15:00,135
2021-08-10 10:30:00,187
2021-08-10 10:45:00,273
2021-08-10 11:00:00,218
2021-08-10 11:15:00,148
2021-08-10 11:30:00,199
2021-08-10 11:45:00,264
2021-08-10 12:00:00,344
2021-08-10 12:15:00,405
2021-08-10 12:30:00,442
2021-08-10 12:45:00,408
2021-08-10 13:00:00,297
2021-08-10 13:15:00,240
2021-08-10 13:30:00,371
2021-08-10 13:45:00,312
2021-08-10 14:00:00,302
2021-08-10 14:15:00,372
2021-08-10 14:30:00,321
2021-08-10 14:45:00,438
2021-08-10 15:00:00,310
2021-08-10 15:15:00,555
2021-08-10 15:30:00,495
2021-08-10 15:45:00,388
2021-08-10 16:00:00,478
2021-08-10 16:15:00,468
2021-08-10 16:30:00,492
2021-08-10 16:45:00,420
2021-08-10 17:00:00,357
2021-08-10 17:15:00,466
2021-08-10 17:30:00,414
2021-08-10 17:45:00,415
2021-08-10 18:00:00,454
2021-08-10 18:15:00,382
2021-08-10 18:30:00,357
2021-08-10 18:45:00,407
2021-08-10 19:00:00,421
2021-08-10 19:15:00,328
2021-08-10 19:30:00,338
2021-08-10 19:45:00,345
2021-08-10 20:00:00,292
2021-08-10 20:15:00,362
2021-08-10 20:30:00,433
2021-08-10 20:45:00,311
2021-08-10 21:00:00,419
2021-08-10 21:15:00,425
2021-08-10 21:30:00,374
2021-08-10 21:45:00,396
2021-08-10 22:00:00,373
2021-08-10 22:15:00,377
2021-08-10 22:30:00,428
2021-08-10 22:45:00,321
2021-08-10 23:00:00,301
2021-08-10 23:15:00,247
2021-08-10 23:30:00,307
2021-08-10 23:45:00,250
2021-09-10 00:00:00,353
2021-09-10 00:15:00,301
2021-09-10 00:30:00,187
2021-09-10 00:45:00,96
2021-09-10 01:00:00,92
2021-09-10 01:15:00,81
2021-09-10 01:30:00,82
2021-09-10 01:45:00,78
2021-09-10 02:00:00,71
2021-09-10 02:15:00,49
2021-09-10 02:30:00,53
2021-09-10 02:45:00,42
2021-09-10 03:00:00,27
2021-09-10 03:15:00,24
2021-09-10 03:30:00,40
2021-09-10 03:45:00,19
2021-09-10 04:00:00,23
2021-09-10 04:15:00,18
2021-09-10 04:30:00,17
2021-09-10 04:45:00,21
2021-09-10 05:00:00,23
2021-09-10 05:15:00,16
2021-09-10 05:30:00,16
2021-09-10 05:45:00,19
2021-09-10 06:00:00,21
2021-09-10 06:15:00,23
2021-09-10 06:30:00,18
2021-09-10 06:45:00,17
2021-09-10 07:00:00,21
2021-09-10 07:15:00,21
2021-09-10 07:30:00,19
2021-09-10 07:45:00,30
2021-09-10 08:00:00,28
2021-09-10 08:15:00,39
2021-09-10 08:30:00,39
2021-09-10 08:45:00,48
2021-09-10 09:00:00,41
2021-09-10 09:15:00,66
2021-09-10 09:30:00,138
2021-09-10 09:45:00,138
2021-09-10 10:00:00,125
2021-09-10 10:15:00,159
2021-09-10 10:30:00,206
2021-09-10 10:45:00,256
2021-09-10 11:00:00,262
2021-09-10 11:15:00,333
2021-09-10 11:30:00,319
2021-09-10 11:45:00,379
2021-09-10 12:00:00,472
2021-09-10 12:15:00,504
2021-09-10 12:30:00,581
2021-09-10 12:45:00,669
2021-09-10 13:00:00,494
2021-09-10 13:15:00,629
2021-09-10 13:30:00,534
2021-09-10 13:45:00,449
2021-09-10 14:00:00,412
2021-09-10 14:15:00,443
2021-09-10 14:30:00,454
2021-09-10 14:45:00,555
2021-09-10 15:00:00,578
2021-09-10 15:15:00,470
2021-09-10 15:30:00,402
2021-09-10 15:45:00,402
2021-09-10 16:00:00,707
2021-09-10 16:15:00,523
2021-09-10 16:30:00,418
2021-09-10 16:45:00,571
2021-09-10 17:00:00,409
2021-09-10 17:15:00,469
2021-09-10 17:30:00,412
2021-09-10 17:45:00,548
2021-09-10 18:00:00,519
2021-09-10 18:15:00,530
2021-09-10 18:30:00,503
2021-09-10 18:45:00,521
2021-09-10 19:00:00,330
2021-09-10 19:15:00,498
2021-09-10 19:30:00,412
2021-09-10 19:45:00,441
2021-09-10 20:00:00,428
2021-09-10 20:15:00,431
2021-09-10 20:30:00,446
2021-09-10 20:45:00,476
2021-09-10 21:00:00,452
2021-09-10 21:15:00,498
2021-09-10 21:30:00,433
2021-09-10 21:45:00,367
2021-09-10 22:00:00,466
2021-09-10 22:15:00,480
2021-09-10 22:30:00,459
2021-09-10 22:45:00,489
2021-09-10 23:00:00,329
2021-09-10 23:15:00,224
2021-09-10 23:30:00,344
2021-09-10 23:45:00,337
2021-10-10 00:00:00,336
2021-10-10 00:15:00,346
2021-10-10 00:30:00,210
2021-10-10 00:45:00,149
2021-10-10 01:00:00,114
2021-10-10 01:15:00,60
2021-10-10 01:30:00,94
2021-10-10 01:45:00,50
2021-10-10 02:00:00,60
2021-10-10 02:15:00,60
2021-10-10 02:30:00,58
2021-10-10 02:45:00,25
2021-10-10 03:00:00,38
2021-10-10 03:15:00,30
2021-10-10 03:30:00,34
2021-10-10 03:45:00,39
2021-10-10 04:00:00,15
2021-10-10 04:15:00,16
2021-10-10 04:30:00,16
2021-10-10 04:45:00,23
2021-10-10 05:00:00,28
2021-10-10 05:15:00,15
2021-10-10 05:30:00,20
2021-10-10 05:45:00,26
2021-10-10 06:00:00,15
2021-10-10 06:15:00,16
2021-10-10 06:30:00,15
2021-10-10 06:45:00,12
2021-10-10 07:00:00,26
2021-10-10 07:15:00,19
2021-10-10 07:30:00,22
2021-10-10 07:45:00,15
2021-10-10 08:00:00,24
2021-10-10 08:15:00,20
2021-10-10 08:30:00,27
2021-10-10 08:45:00,39
2021-10-10 09:00:00,64
2021-10-10 09:15:00,58
2021-10-10 09:30:00,71
2021-10-10 09:45:00,88
2021-10-10 10:00:00,122
2021-10-10 10:15:00,96
2021-10-10 10:30:00,86
2021-10-10 10:45:00,135
2021-10-10 11:00:00,274
2021-10-10 11:15:00,271
2021-10-10 11:30:00,270
2021-10-10 11:45:00,282
2021-10-10 12:00:00,449
2021-10-10 12:15:00,407
2021-10-10 12:30:00,420
2021-10-10 12:45:00,342
2021-10-10 13:00:00,347
2021-10-10 13:15:00,371
2021-10-10 13:30:00,413
2021-10-10 13:45:00,463
2021-10-10 14:00:00,323
2021-10-10 14:15:00,365
2021-10-10 14:30:00,344
2021-10-10 14:45:00,384
2021-10-10 15:00:00,468
2021-10-10 15:15:00,408
2021-10-10 15:30:00,416
2021-10-10 15:45:00,434
2021-10-10 16:00:00,420
2021-10-10 16:15:00,420
2021-10-10 16:30:00,423
2021-10-10 16:45:00,418
2021-10-10 17:00:00,401
2021-10-10 17:15:00,324
2021-10-10 17:30:00,398
2021-10-10 17:45:00,343
2021-10-10 18:00:00,317
2021-10-10 18:15:00,326
2021-10-10 18:30:00,303
2021-10-10 18:45:00,275
2021-10-10 19:00:00,233
2021-10-10 19:15:00,272
2021-10-10 19:30:00,245
2021-10-10 19:45:00,223
2021-10-10 20:00:00,248
2021-10-10 20:15:00,184
2021-10-10 20:30:00,154
2021-10-10 20:45:00,189
2021-10-10 21:00:00,135
2021-10-10 21:15:00,162
2021-10-10 21:30:00,125
2021-10-10 21:45:00,158
2021-10-10 22:00:00,175
2021-10-10 22:15:00,104
2021-10-10 22:30:00,140
2021-10-10 22:45:00,145
2021-10-10 23:00:00,95
2021-10-10 23:15:00,109
2021-10-10 23:30:00,77
2021-10-10 23:45:00,55
